央视频道,#genre#
CCTV-1综合,http://39.134.67.108:80/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$高清
CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动|回看
CCTV-1综合,http://39.134.67.108:80/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合,http://39.134.65.207/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合,http://39.134.65.194/PLTV/88888888/224/3221225734/1.m3u8
CCTV-1综合,http://live.haomaishou.com/playlist/818.m3u8
CCTV-1综合,http://113.88.167.101:8001/udp/239.77.0.129:5146$超清
CCTV-1综合,http://113.88.167.101:8001/udp/239.77.1.17:5146
CCTV-1综合,http://113.88.167.101:8001/udp/239.77.1.144:5146
CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$5.5M_1080
CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8$4.0M_1080
CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8$1.6M_720
CCTV-2财经,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$移动|回看
CCTV-2财经,http://113.88.167.101:8001/udp/239.77.1.158:5146
CCTV-2财经,http://113.88.167.101:8001/udp/239.77.0.137:5146
CCTV-2财经,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$1.6M_720
CCTV-3综艺,http://39.134.65.194/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$移动|回看
CCTV-3综艺,http://39.135.135.41/wh7f454c46tw1956839526_-720028145/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3综艺,http://113.88.167.101:8001/udp/239.77.0.169:5146
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$4.0M_1080
CCTV-4中文国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动|回看
CCTV-4中文国际,http://106.53.99.30/dl/bjyd.php?id=3
CCTV-4中文国际,http://113.88.167.101:8001/udp/239.77.1.163:5146
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$4.0M_1080
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226007/index.m3u8$1.6M_720
CCTV-5体育,http://39.134.65.194/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动|回看
CCTV-5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动|回看
CCTV-5体育,http://113.88.167.101:8001/udp/239.77.0.170:5146
CCTV-5体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$4.0M_1080
CCTV-5体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226469/index.m3u8$4.0M_1080
CCTV-5+体育赛事,http://39.134.65.194/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+体育赛事,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$移动|回看
CCTV-5+体育赛事,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+体育赛事,http://113.88.167.101:8001/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8$4.0M_1080
CCTV-6电影,http://39.134.65.200/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动|回看
CCTV-6电影,http://113.88.167.101:8001/udp/239.77.0.171:5146
CCTV-6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$4.0M_1080
CCTV-7国防军事,http://39.134.65.194/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7国防军事,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动|回看
CCTV-7国防军事,http://113.88.167.101:8001/udp/239.77.1.159:5146
CCTV-7国防军事,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8$4.1M_1080
CCTV-8电视剧,http://39.134.65.196/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8电视剧,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动|回看
CCTV-8电视剧,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8电视剧,http://113.88.167.101:8001/udp/239.77.0.172:5146
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8$4.0M_1080
CCTV-9纪录,http://39.134.65.196/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9纪录,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动|回看
CCTV-9纪录,http://113.88.167.101:8001/udp/239.77.1.160:5146
CCTV-9纪录,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
